,precision,recall,f1-score,support
Accessories,0.9709,0.9858,0.9783,1694.0
Apparel,0.9938,0.995,0.9944,3210.0
Footwear,0.9985,0.9906,0.9946,1384.0
Free Items,0.0,0.0,0.0,15.0
Personal Care,0.9747,0.9639,0.9693,360.0
accuracy,0.9878,0.9878,0.9878,0.9878
macro avg,0.7876,0.7871,0.7873,6663.0
weighted avg,0.9857,0.9878,0.9867,6663.0
